CircleName,Radius,Area(sq. m)
SAY,3.798716572,45.33
PSN,9.958397174,311.55
JDP,5.142710988,83.09
AUO,3.319583841,34.62
OHG,1.138394965,4.07
MXL,2.171867077,14.82
ECS,5.220151551,85.61
NJT,1.006460535,3.18
VKQ,2.130843923,14.26
FWN,5.927454293,110.38
IOP,2.785949921,24.38
ERZ,7.951552745,198.63
IYP,7.699646666,186.25
DLL,2.313657653,16.82
CXH,3.811443291,45.64
YYE,6.387323282,128.17
JTK,8.071234468,204.66
VOZ,5.855991575,107.73
QDP,1.502862793,7.1
NSJ,5.448437473,93.26
MOY,8.882382422,247.86
GRD,3.879515531,47.28
BAM,2.424243183,18.46
YVF,7.944377203,198.28
QTS,2.769431594,24.1
IKA,4.856204219,74.09
PBD,5.239461953,86.24
AEI,4.655415584,68.09
KZD,4.37202287,60.05
RCD,2.428328858,18.53
ECL,3.835785853,46.22
DKZ,5.923403739,110.23
BRQ,6.143609011,118.58
RKP,3.967456755,49.45
ILD,2.8549402,25.61
WLS,5.65971125,100.63
VVY,9.108750622,260.66
DOR,2.891890117,26.27
FEJ,6.603429434,136.99
JVU,8.934618474,250.79
OMQ,1.638269161,8.43
DCZ,2.206212192,15.29
GUL,8.580043298,231.28
ZAX,5.870170149,108.26
DLB,6.492912306,132.44
EGC,5.757977104,104.16
DWP,3.977615659,49.7
JPD,1.574399781,7.79
RPN,8.641815058,234.62
EXF,1.385272628,6.03
YCN,9.598447904,289.44
JTF,4.867077742,74.42
OOR,3.043489951,29.1
NDQ,3.844416433,46.43
TZC,3.493020582,38.33
HJZ,8.102534438,206.25
EZZ,5.19913312,84.92
GTM,8.803676263,243.49
DIZ,4.162489996,54.43
HNE,5.358216346,90.2
WZM,7.287603584,166.85
XSA,3.383082199,35.96
ESN,6.55179448,134.86
KPK,5.223292083,85.71
VFS,6.328226206,125.81
LJA,2.185221773,15.0
VKQ,9.498624051,283.45
NFC,5.240788595,86.29
GBT,9.109064515,260.67
ZKC,4.698866679,69.36
HTK,8.838044936,245.39
ZNG,3.996279795,50.17
LBD,9.976698319,312.7
JGW,3.934364679,48.63
RXU,7.654479137,184.07
ZRR,4.641812144,67.69
HBA,2.75080007,23.77
ZQT,8.498572164,226.9
EBY,1.764559629,9.78
EVX,9.01791811,255.48
HAA,9.674293259,294.03
NHC,7.852416894,193.71
SMZ,7.728202898,187.63
KXW,5.654502747,100.45
CBR,8.84065312,245.54
XBH,2.664306219,22.3
ZGV,1.799418526,10.17
ELH,1.983863254,12.36
HAZ,6.234020198,122.09
BCH,4.041159174,51.31
PXR,2.658745855,22.21
SZO,2.824199883,25.06
EJG,2.488443789,19.45
DRP,6.957371466,152.07
IPA,5.853089262,107.63
PVZ,7.798121748,191.04
SQR,5.133238561,82.78
NSM,9.761868257,299.38
SXE,6.774163755,144.17
JNT,2.823492458,25.05
